number,date,title,location,topic,all instruments,main instrument,other instruments,mood,beard,genre,all styles,main style,other styles,noun,proper noun,length,inKey,tempo,videoID,layerorder
208,7/27/2009,The Kind of Song You'd Hear in a 90s Noir B-Movie,Berkeley,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Intense,Shadow,Electro,"Cheesy, Dark, Heavy",Cheesy,"Dark, Heavy",,,3:30,B,115,https://www.youtube.com/watch?v=NGCO-9ziY4I,"Background, Location, Topic, Mood, Instrument, Beard"
209,7/28/2009,Two Chords,Berkeley,Poetic,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Pensive,Clean,Rock,"Light, Silly",Light,Silly,,,1:21,G,80,https://www.youtube.com/watch?v=UY31lHRJwfY,"Background, Location, Topic, Mood, Instrument, Beard"
210,7/29/2009,Games and Sounds,Berkeley,Video Games,"Synths, Drum Machine",Synths,Drum Machine,Silly,Clean,Electro,Light,Light,,"Theme Song, Web series",,1:09,G,120,https://www.youtube.com/watch?v=IQDXq2zpBCI,"Background, Location, Topic, Mood, Instrument, Beard"
211,7/30/2009,Gone Like the Dodo,Berkeley,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Pensive,Clean,Electro,"Wistful, Vocoder, Dreamy, Dark",Wistful,"Vocoder, Dreamy, Dark",,,2:17,Am,95,https://www.youtube.com/watch?v=sxjkIgsppwc,"Background, Location, Topic, Mood, Instrument, Beard"
212,7/31/2009,Time Capsule,Berkeley,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Happy,Clean,Electro,"Cheesy, 80s, Vocoder, Rough",Cheesy,"80s, Vocoder, Rough",,,1:27,G,140,https://www.youtube.com/watch?v=F02hhkUDhuI,"Background, Location, Topic, Mood, Instrument, Beard"
213,08.01.2009,Nic Kaelin,Berkeley,Friend,"Synths, Drum Machine",Synths,Drum Machine,Happy,Shadow,Rock,"Cheesy, Light, Birthday",Cheesy,"Light, Birthday",,,1:16,C,100,https://www.youtube.com/watch?v=QHcF-qwEs_M,"Background, Location, Topic, Mood, Instrument, Beard"
214,08.02.2009,LifeWith Cha Cha is in Sonic Technicolor,Berkeley,Contest,"Synths, Drum Machine",Synths,Drum Machine,Chill,Shadow,Rock,"Fun, Dark, Catchy",Fun,"Dark, Catchy",,Cha Cha,2:15,C,130,https://www.youtube.com/watch?v=012_5is488Y,"Background, Location, Topic, Mood, Instrument, Beard"
215,08.03.2009,Let Your Ears Decide,Berkeley,Contest,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Chill,Clean,Rock,"Bad, Cheesy",Bad,Cheesy,,,1:30,E,170,https://www.youtube.com/watch?v=5jR84NTwRF4,"Background, Location, Topic, Mood, Instrument, Beard"
216,08.04.2009,Wash Your Hands!,Berkeley,Contest,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Happy,Shadow,Rock,"Fun, Educational",Fun,Educational,Hand Washing,,0:30,C,100,https://www.youtube.com/watch?v=bT-Ktx8Qpc0,"Background, Location, Topic, Mood, Instrument, Beard"
217,08.05.2009,I am MG Siegler,Berkeley,Internet,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Fun, Light, Funny, Silly",Fun,"Light, Funny, Silly",,MG Sieglar,0:58,D#,163,https://www.youtube.com/watch?v=ybsRCQy_3xQ,"Background, Location, Topic, Mood, Instrument, Beard"
218,08.06.2009,The Big Picture With David Shuster,Berkeley,TV,"Synths, Drum Machine",Synths,Drum Machine,Chill,Shadow,Electro,"Bad, Cheesy",Bad,Cheesy,,"Tamron Hall, David Shuster",1:46,F,96,https://www.youtube.com/watch?v=wySpD3mUx2M,"Background, Location, Topic, Mood, Instrument, Beard"
219,08.07.2009,"That Dastardly Villian, MG",Berkeley,Internet,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Intense,Shadow,Electro,"Bad, Heavy",Bad,Heavy,,MG Sieglar,1:29,G,105,https://www.youtube.com/watch?v=DxYlmF2NV2E,"Background, Location, Topic, Mood, Instrument, Beard"
220,08.08.2009,I Wrote the Worst Jingle in the World,Berkeley,Song A Day,"Samples, Synths, Drum Machine",Samples,"Synths, Drum Machine",Intense,Shadow,Circus,"Fun, Dark, Life",Fun,"Dark, Life",,,1:02,C,96,https://www.youtube.com/watch?v=1ikv048WI7E,"Background, Location, Topic, Mood, Instrument, Beard"
221,08.09.2009,"Do It, Screw It",Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Shadow,Folk,Motivational,Motivational,,,,1:14,C#,117,https://www.youtube.com/watch?v=NJrFXJmCpg8,"Background, Location, Topic, Mood, Instrument, Beard"
222,08.10.2009,SkyDiving Through Groupon.com,Berkeley,Commission,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Cheesy, Fun",Cheesy,Fun,Company,Groupon,1:52,G,120,https://www.youtube.com/watch?v=YfGhZTWgD8g,"Background, Location, Topic, Mood, Instrument, Beard"
223,08.11.2009,Courseopedia.com,Berkeley,Commission,"Synths, Drum Machine",Synths,Drum Machine,Chill,Clean,Electro,"Cheesy, Company",Cheesy,Company,,Courseopedia.com,1:14,F,95,https://www.youtube.com/watch?v=rbxTCnSAmqc,"Background, Location, Topic, Mood, Instrument, Beard"
224,08.12.2009,Bamboo Solutions,Berkeley,Commission,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Cheesy, Company, Internet",Cheesy,"Company, Internet",,Bamboo Solutions,1:41,D,100,https://www.youtube.com/watch?v=hfIFVV3TSzo,"Background, Location, Topic, Mood, Instrument, Beard"
225,8/13/2009,Man Did What Some Birds Could Never Do,Berkeley,Animals,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Rock,"Hopeful, Fun, Animals",Hopeful,"Fun, Animals",Bird,,1:08,A,150,https://www.youtube.com/watch?v=wYSd19nxH8c,"Background, Location, Topic, Mood, Instrument, Beard"
226,8/14/2009,Fox News is Bad for the Country,Berkeley,Politics,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Angry,Clean,Rock,"Distortion, Political, TV",Distortion,"Political, TV",,"Fox News, Glenn Beck, Bill O'Reilly",2:09,F,80,https://www.youtube.com/watch?v=6ZdUCtBd2mA,"Background, Location, Topic, Mood, Instrument, Beard"
227,8/15/2009,InFolinks,Berkeley,Song A Day,Piano,Piano,,Intense,Clean,Blues,"Funny, Fun",Funny,Fun,,,1:24,D,117,https://www.youtube.com/watch?v=xNz3xpsUoX4,"Background, Location, Topic, Mood, Instrument, Beard"
228,8/16/2009,"The King of Monkeys, Gnomes and nacho Cheese",Vermont,Nerd,"Synths, Drum Machine",Synths,Drum Machine,Chill,Shadow,Electro,"Fun, Wistful",Fun,Wistful,"Animals, Monkeys, Gnomes, Food",Nacho Cheese,0:40,E,65,https://www.youtube.com/watch?v=DqqeLoWxmYM,"Background, Location, Topic, Mood, Instrument, Beard"
229,8/17/2009,What Are You So AngryAbout?,Vermont,Politics,"Piano, Acoustic Guitar, Samples",Piano,"Acoustic Guitar, Samples",Confused,Shadow,Folk,"Political, Health Care",Political,Health Care,,,1:49,D,84,https://www.youtube.com/watch?v=g-LTwDqUJ4c,"Background, Location, Topic, Mood, Instrument, Beard"
230,8/18/2009,Please Vote for Me,Vermont,Life,Acoustic Guitar,Acoustic Guitar,,Intense,Shadow,Folk,"Personal, Funny, Plea, Frustrated",Personal,"Funny, Plea, Frustrated",,,0:53,F,129,https://www.youtube.com/watch?v=_s-gegtqBEU,"Background, Location, Topic, Mood, Instrument, Beard"
231,8/19/2009,Tiki the Puppy,Vermont,Animals,"Synths, Drum Machine",Synths,Drum Machine,Chill,Clean,Electro,"Cheesy, Fun",Cheesy,Fun,Dogs,Tiki,0:40,C,109,https://www.youtube.com/watch?v=M0FSneMDbSU,"Background, Location, Topic, Mood, Instrument, Beard"
232,8/20/2009,FunnyHat,Vermont,Object,"Synths, Drum Machine",Synths,Drum Machine,Intense,Shadow,Electro,"Funny, Fun",Funny,Fun,"Grandma, Hat",,0:57,F,120,https://www.youtube.com/watch?v=Dmz4NhmbMdQ,"Background, Location, Topic, Mood, Instrument, Beard"
233,8/21/2009,Pop Music,Vermont,Poetic,Baritone Ukulele,Baritone Ukulele,,Chill,Clean,Folk,"Delicate, Silly, Light",Delicate,"Silly, Light",,,2:25,G,106,https://www.youtube.com/watch?v=vKszq7olUIo,"Background, Location, Topic, Mood, Instrument, Beard"
234,8/22/2009,Happy Anniversary the Cat Has Kidney Failure,Vermont,Life,Baritone Ukulele,Baritone Ukulele,,Silly,Clean,Folk,"Funny, Fun",Funny,Fun,"Animals, Cat",,2:20,F#,148,https://www.youtube.com/watch?v=8Eg-uwlephE,"Background, Location, Topic, Mood, Instrument, Beard"
235,8/23/2009,I am Just a Shadow,Vermont,Poetic,Baritone Ukulele,Baritone Ukulele,,Intense,Clean,Folk,"Dark, Looming",Dark,Looming,,,1:16,D#,113,https://www.youtube.com/watch?v=vLizXeF8RIs,"Background, Location, Topic, Mood, Instrument, Beard"
236,8/24/2009,Lucky,Vermont,Love,Baritone Ukulele,Baritone Ukulele,,Pensive,Clean,Folk,"Delicate, Wistful, Love",Delicate,"Wistful, Love",,,1:47,D,100,https://youtu.be/UxqG1HV34ag,"Background, Location, Topic, Mood, Instrument, Beard"
237,8/25/2009,Epuls.pl Anthem,Berkeley,Commission,"Synths, Drum Machine",Synths,Drum Machine,Tired,Shadow,Electro,"Cheesy, Dark, Silly",Cheesy,"Dark, Silly",,,1:39,A#,145,https://youtu.be/wzbka8mwQYI,"Background, Location, Topic, Mood, Instrument, Beard"
238,8/26/2009,GPS With Bob Dylan,Berkeley,Nerd,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Silly,Shadow,Rock,"Fun, Silly, Funny",Fun,"Silly, Funny",,Bob Dylan,2:10,G,90,https://youtu.be/QWNAUAFb3Ik,"Background, Location, Topic, Mood, Instrument, Beard"
239,8/27/2009,I Don't Want to Compete,Berkeley,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,Frustrated,Frustrated,,,,1:39,D,110,https://www.youtube.com/watch?v=ixlPXLHpQe4,"Background, Location, Topic, Mood, Instrument, Beard"
240,8/28/2009,TIRED,Berkeley,Song A Day,Baritone Ukulele,Baritone Ukulele,,Tired,Shadow,Folk,"Fun, Silly",Fun,Silly,,,0:40,F#,82,https://youtu.be/JZY3gPmpgPY,"Background, Location, Topic, Mood, Instrument, Beard"
241,8/29/2009,"Goodbye JewFro, Hello Cleanface",Berkeley,Life,"Synths, Drum Machine",Synths,Drum Machine,Excited,Clean,Electro,"Light, Fun",Light,Fun,My Appearence,,0:36,G,130,https://www.youtube.com/watch?v=do4n1e_1jOY,"Background, Location, Topic, Mood, Instrument, Beard"
242,8/30/2009,This is How We Do It at Bennington,Berkeley,Commission,"Synths, Drum Machine",Synths,Drum Machine,Chill,Clean,Electro,"Light, Fun, Silly",Light,"Fun, Silly",Place,Bennington,1:15,C,80,https://www.youtube.com/watch?v=FgcDtphKZEs,"Background, Location, Topic, Mood, Instrument, Beard"
243,8/31/2009,I Got a New Guitar,Berkeley,Object,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Silly,Clean,Rock,"Silly, Dark",Silly,Dark,,,1:27,E,108,https://www.youtube.com/watch?v=ujWJDnOlGJQ,"Background, Location, Topic, Mood, Instrument, Beard"
244,09.01.2009,No Judgements,Berkeley,Contest,"Piano, Drum Machine",Piano,Drum Machine,Chill,Clean,Rock,"Cheesy, Wistful",Cheesy,Wistful,,,1:54,D,105,https://www.youtube.com/watch?v=EVQmcMmd_8Q,"Background, Location, Topic, Mood, Instrument, Beard"
245,09.02.2009,Cisco Telepresence Anthem,Berkeley,Contest,"Synths, Drum Machine",Synths,Drum Machine,Intense,Shadow,Rock,"Light, Catchy",Light,Catchy,,,0:53,F,125,https://www.youtube.com/watch?v=qj2hZXbPBkc,"Background, Location, Topic, Mood, Instrument, Beard"
246,09.03.2009,No Judgements v2,Berkeley,Contest,"Synths, Drum Machine",Synths,Drum Machine,Pensive,Clean,Electro,Cheesy,Cheesy,,,,1:34,C,90,https://www.youtube.com/watch?v=1hkJRjCm824,"Background, Location, Topic, Mood, Instrument, Beard"
247,09.04.2009,Sometimes It's Hard to Keep Yourself Moving,Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Sad,Shadow,Electro,"Frustrated, Dark, Wistful",Frustrated,"Dark, Wistful",,,3:14,B,110,https://www.youtube.com/watch?v=6ldrFuDqcLM,"Background, Location, Topic, Mood, Instrument, Beard"
248,09.05.2009,Heart Overflowing,Berkeley,Love,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Happy,Clean,Rock,"Wistful, Catchy",Wistful,Catchy,,,2:46,F,110,https://www.youtube.com/watch?v=H4tY515V83Y,"Background, Location, Topic, Mood, Instrument, Beard"
249,09.06.2009,Bicycle Blvd,Berkeley,Bike,"Electric Guitar, Drum Machine",Electric Guitar,Drum Machine,Happy,Clean,Rock,"Fun, Catchy, Good",Fun,"Catchy, Good",Bike,,1:49,D,137,https://www.youtube.com/watch?v=jnWcXes5pYg,"Background, Location, Topic, Mood, Instrument, Beard"
250,09.07.2009,At the Harley Davidson Museum,Berkeley,Contest,"Electric Guitar, Samples, Drum Machine",Electric Guitar,"Samples, Drum Machine",Intense,Clean,Blues,"Fun, Cheesy",Fun,Cheesy,,,1:13,E,138,https://www.youtube.com/watch?v=sts6uK6x_m8,"Background, Location, Topic, Mood, Instrument, Beard"
251,09.08.2009,Truth in Advertising,Berkeley,Contest,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Intense,Clean,Rock,"Fun, Educational, PSA",Fun,"Educational, PSA",,Ivory,1:01,A,130,https://www.youtube.com/watch?v=WwcUafltTf8,"Background, Location, Topic, Mood, Instrument, Beard"
252,09.09.2009,I've Got Another Cold,Berkeley,Sick,"Synths, Drum Machine",Synths,Drum Machine,Tired,Shadow,Rock,"Fun, Silly",Fun,Silly,,,0:10,G,120,https://www.youtube.com/watch?v=I6Rtu2NDz44,"Background, Location, Topic, Mood, Instrument, Beard"
253,09.10.2009,Still Sick,Berkeley,Sick,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Tired,Shadow,Electro,"Fun, Silly",Fun,Silly,,,0:18,C,75,https://www.youtube.com/watch?v=MkIFPdF7vng,"Background, Location, Topic, Mood, Instrument, Beard"
254,09.11.2009,I'm a Bit Better,Berkeley,Sick,"Synths, Drum Machine",Synths,Drum Machine,Tired,Shadow,Electro,"Fun, Silly, Light",Fun,"Silly, Light",,,1:05,C,120,https://www.youtube.com/watch?v=GEk2Bkbkn4A,"Background, Location, Topic, Mood, Instrument, Beard"
255,09.12.2009,We Built a Fort,Berkeley,Friend,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Tired,Shadow,Electro,"Fun, Silly",Fun,Silly,,,0:20,C,165,https://www.youtube.com/watch?v=-Scd_JZq2jk,"Background, Location, Topic, Mood, Instrument, Beard"
256,9/13/2009,I'm Jonathan,Berkeley,Life,Vocals,Vocals,,Silly,Shadow,Acapella,"Silly, Dark",Silly,Dark,,,1:56,D#,88,https://www.youtube.com/watch?v=BebDpLN-lRg,"Background, Location, Topic, Mood, Instrument, Beard"
257,9/14/2009,First There Was No Chair,Berkeley,Object,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Distortion, Dark, Heavy",Distortion,"Dark, Heavy",,,1:05,D,107,https://www.youtube.com/watch?v=bJf5ZgsV5Fw,"Background, Location, Topic, Mood, Instrument, Beard"
258,9/15/2009,Mirror Revolt,Berkeley,Object,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Electro,"Dark, Narrative",Dark,Narrative,,,2:12,C,110,https://www.youtube.com/watch?v=ykmpoBCnUQE,"Background, Location, Topic, Mood, Instrument, Beard"
259,9/16/2009,Simian Space Flight,Berkeley,Instrumental,"Synths, Drum Machine",Synths,Drum Machine,Chill,Clean,Electro,"Dark, Dreamy",Dark,Dreamy,,,3:27,D,80,https://www.youtube.com/watch?v=hMIRkgop65s,"Background, Location, Topic, Mood, Instrument, Beard"
260,9/17/2009,Link Mann,Berkeley,Video Games,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Clean,Rock,"Wistful, Dreamy",Wistful,Dreamy,Video Games,"NES, Zelda",3:07,D,76,https://www.youtube.com/watch?v=ouiE50FVIMc,"Background, Location, Topic, Mood, Instrument, Beard"
261,9/18/2009,The Android Who Didn't Have a Penis,Berkeley,Sex,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Sad,Shadow,Rock,Light,Light,,Android,,3:37,C,110,https://www.youtube.com/watch?v=nSru178teSY,"Background, Location, Topic, Mood, Instrument, Beard"
262,9/19/2009,"You Can Do It, Sam",Berkeley,Friend,"Synths, Drum Machine",Synths,Drum Machine,Excited,Clean,Electro,"Distortion, Dreamy, Motivational",Distortion,"Dreamy, Motivational",,,1:35,C,150,https://www.youtube.com/watch?v=o-OHmBtcH1k,"Background, Location, Topic, Mood, Instrument, Beard"
263,9/20/2009,The Sex Machine That Couldn't Love,Berkeley,Sex,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,"Vocoder, Dreamy, Dark",Vocoder,"Dreamy, Dark",,,2:02,A,117,https://www.youtube.com/watch?v=3PlhMnSlk-w,"Background, Location, Topic, Mood, Instrument, Beard"
264,9/21/2009,The Robot That Lived on the Moon and Wished It Were Human,Berkeley,Nerd,"Synths, Drum Machine",Synths,Drum Machine,Pensive,Clean,Electro,"Vocoder, Dreamy, Dark",Vocoder,"Dreamy, Dark",,,2:28,G,110,https://www.youtube.com/watch?v=XDJTTRhIrSc,"Background, Location, Topic, Mood, Instrument, Beard"
265,9/22/2009,"Quantum Decoupling Transition in a One-Dimensional
 
 Feschbach Resonant Super Fluid",Berkeley,Science,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Clean,Rock,"Dark, Wistful, Educational, Songify",Dark,"Wistful, Educational, Songify",Scientific Paper,,2:46,Bb,130,https://www.youtube.com/watch?v=FIXRXMMlZBM,"Background, Location, Topic, Mood, Instrument, Beard"
266,9/23/2009,In Heaven,Berkeley,Poetic,"Synths, Drum Machine",Synths,Drum Machine,Intense,Clean,Rock,"Dark, Heavy, Distortion",Dark,"Heavy, Distortion",,,3:07,A,110,https://www.youtube.com/watch?v=33Z5uAyPF8g,"Background, Location, Topic, Mood, Instrument, Beard"
267,9/24/2009,The Three Rules of the internet,Berkeley,Internet,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Shadow,Folk,"Funny, Nerd, Redux",Funny,"Nerd, Redux",,,1:04,C,100,https://www.youtube.com/watch?v=HS9BlNSCmw8,"Background, Location, Topic, Mood, Instrument, Beard"
268,9/25/2009,Death in Every instant,Berkeley,Grandma,Samples,Samples,,Chill,Clean,Spoken word,"Wistful, Delicate",Wistful,Delicate,,,1:00,G,90,https://www.youtube.com/watch?v=woCjVts5-Ug,"Background, Location, Topic, Mood, Instrument, Beard"
269,9/26/2009,Scary Hill,Berkeley,Childhood,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Pensive,Clean,Rock,"Scary, Dark",Scary,Dark,,,2:34,E,120,https://www.youtube.com/watch?v=DOp7RuJggdc,"Background, Location, Topic, Mood, Instrument, Beard"
270,9/27/2009,Popcorn,Berkeley,Childhood,Acoustic Guitar,Acoustic Guitar,,Pensive,Clean,Folk,"Wistful, Good",Wistful,Good,,,2:26,Eb,80,https://www.youtube.com/watch?v=iVt-TfittNY,"Background, Location, Topic, Mood, Instrument, Beard"
271,9/28/2009,Big Wall Graphics From LTLPrints.com,Berkeley,Commission,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Silly,Clean,Electro,Silly,Silly,,,,1:47,C,152,https://www.youtube.com/watch?v=AiMxiAUVKgY,"Background, Location, Topic, Mood, Instrument, Beard"
272,9/29/2009,How to Defeat the Energy Vampire: the Song,Berkeley,Commission,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Silly,Clean,Rock,"Silly, Monster",Silly,Monster,Vampire,,0:10,Am,80,https://www.youtube.com/watch?v=UNHV67O3OdU,"Background, Location, Topic, Mood, Instrument, Beard"
273,9/30/2009,Vulcan Smile,Berkeley,Nerd,"Piano, Synths, Drum Machine",Piano,"Synths, Drum Machine",Chill,Shadow,Folk,"Delicate, Sci-Fi",Delicate,Sci-Fi,,Star Trek,0:24,D,140,https://www.youtube.com/watch?v=oBbBTwgDBBg,"Background, Location, Topic, Mood, Instrument, Beard"
274,10.01.2009,Downstairs Bear,Berkeley,Childhood,"Synths, Drum Machine",Synths,Drum Machine,Sad,Clean,Electro,Dark,Dark,,Teddy Bear,,1:15,C#m,130,https://www.youtube.com/watch?v=ld1PvU8c3y8,"Background, Location, Topic, Mood, Instrument, Beard"
275,10.02.2009,Ardipithicus Ramidus,Berkeley,Animals,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Silly,Clean,Rock,"Fun, Silly, Science",Fun,"Silly, Science",,Artipithicus Ramidus,2:02,E,120,https://www.youtube.com/watch?v=S-DCcrLIcL4,"Background, Location, Topic, Mood, Instrument, Beard"
276,10.03.2009,Hard Drive It Home,Berkeley,Sex,Acoustic Guitar,Acoustic Guitar,,Intense,Clean,Folk,"Raunchy, Funny",Raunchy,Funny,,,1:36,F,120,https://www.youtube.com/watch?v=0WJGGof6iQY,"Background, Location, Topic, Mood, Instrument, Beard"
277,10.04.2009,You and Me and the Singularity,Berkeley,Love,Acoustic Guitar,Acoustic Guitar,,Pensive,Shadow,Folk,Wistful,Wistful,,,,2:50,G#,92,https://www.youtube.com/watch?v=_OoA0AZ1gr0,"Background, Location, Topic, Mood, Instrument, Beard"
278,10.05.2009,Sex in Space,Berkeley,Sex,Acoustic Guitar,Acoustic Guitar,,Intense,Shadow,Folk,"Dreamy, Raunchy",Dreamy,Raunchy,,,2:35,F,85,https://www.youtube.com/watch?v=SHyqW-fX3_Y,"Background, Location, Topic, Mood, Instrument, Beard"
279,10.06.2009,NASA Bombed the Moon,Berkeley,Nerd,Acoustic Guitar,Acoustic Guitar,,Chill,Shadow,Folk,"Narrative, Science",Narrative,Science,Moon,NASA,1:45,B,105,https://www.youtube.com/watch?v=GgWFVXoT71E,"Background, Location, Topic, Mood, Instrument, Beard"
280,10.07.2009,Pants in the Middle,Berkeley,Object,"Piano, Electric Guitar, Acoustic Guitar, Drum Machine",Piano,"Electric Guitar, Acoustic Guitar, Drum Machine",Intense,Clean,Rock,"Silly, Distortion",Silly,Distortion,Pants,,1:54,D,190,https://www.youtube.com/watch?v=1Q3Xyo166Rg,"Background, Location, Topic, Mood, Instrument, Beard"
281,10.08.2009,"Hey, Mr. Bike Thief",Berkeley,Bike,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Angry,Clean,Rock,"Sad, Theft",Sad,Theft,,,1:47,Bm,80,https://www.youtube.com/watch?v=QzkP2-27kj0,"Background, Location, Topic, Mood, Instrument, Beard"
282,10.09.2009,The LARP song,Berkeley,Instrumental,"Samples, Drum Machine",Samples,Drum Machine,Chill,Clean,Rock,Silly,Silly,,,,1:29,F,90,https://www.youtube.com/watch?v=BbsYHBFLL_4,"Background, Location, Topic, Mood, Instrument, Beard"
283,10.10.2009,"Hey, It's October",Berkeley,Poetic,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Shadow,Rock,"Dark, Scary, Distortion",Dark,"Scary, Distortion",,,1:47,Am,85,https://www.youtube.com/watch?v=88yXZD1MILY,"Background, Location, Topic, Mood, Instrument, Beard"
284,10.11.2009,"Hey, Little insect and Spider",Berkeley,Animals,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Intense,Clean,Rock,Dark,Dark,,"Animals, Insect, Spider",,0:45,C,100,https://www.youtube.com/watch?v=7zDb-5UiDes,"Background, Location, Topic, Mood, Instrument, Beard"
285,10.12.2009,Nextivafax.com,Berkeley,Commission,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Chill,Clean,Rock,,,,Company,Nextivafax,1:25,F,120,https://www.youtube.com/watch?v=0gUDa5ZWDIk,"Background, Location, Topic, Mood, Instrument, Beard"
286,10/13/2009,Somebody Needs Your Help,Berkeley,Commission,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Sad,Clean,Rock,,,,"Animals, Dogs",,1:56,C,90,https://www.youtube.com/watch?v=x_nsSAzmVD0,"Background, Location, Topic, Mood, Instrument, Beard"
287,10/14/2009,Frack the Dow Jones,Berkeley,Politics,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Angry,Clean,Folk,"Heavy, Economy",Heavy,Economy,,,2:25,G,110,https://www.youtube.com/watch?v=fls6is7hSTo,"Background, Location, Topic, Mood, Instrument, Beard"
288,10/15/2009,Kickstarter.com,Berkeley,Internet,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Chill,Shadow,Folk,Company,Company,,,Kickstarter,1:39,D,70,https://www.youtube.com/watch?v=gJmJkLkIv3M,"Background, Location, Topic, Mood, Instrument, Beard"
289,10/16/2009,Just a Little More Tired,Berkeley,Life,"Synths, Samples, Drum Machine",Synths,"Samples, Drum Machine",Tired,Shadow,Electro,Dark,Dark,,,,2:35,B,160,https://www.youtube.com/watch?v=IimlrWxSeT4,"Background, Location, Topic, Mood, Instrument, Beard"
290,10/17/2009,Treasure island,Berkeley,Life,Acoustic Guitar,Acoustic Guitar,,Intense,Shadow,Folk,"Dark, Narrative",Dark,Narrative,,,4:41,Fm,60,https://www.youtube.com/watch?v=NcZjBEX5IW8,"Background, Location, Topic, Mood, Instrument, Beard"
291,10/18/2009,"Happy Birthday, Kelly Porter",Berkeley,Friend,"Piano, Samples, Drum Machine",Piano,"Samples, Drum Machine",Happy,Shadow,Rock,"Hopeful, Birthday",Hopeful,Birthday,,,1:30,G#,90,https://www.youtube.com/watch?v=DnuQfhP50FM,"Background, Location, Topic, Mood, Instrument, Beard"
292,10/19/2009,Psoriasis Cure Now Walk,Berkeley,Contest,"Samples, Drum Machine",Samples,Drum Machine,Excited,Shadow,Rock,Science,Science,,,Psoriasis,0:30,D,75,https://www.youtube.com/watch?v=68HiJSAl8GI,"Background, Location, Topic, Mood, Instrument, Beard"
293,10/20/2009,It's This Rain,Berkeley,Poetic,"Piano, Electric Guitar, Acoustic Guitar, Drum Machine",Piano,"Electric Guitar, Acoustic Guitar, Drum Machine",Intense,Clean,Latin,"Dark, Looming, Anthem",Dark,"Looming, Anthem",,,3:32,Am,105,https://www.youtube.com/watch?v=kPpfxu-IbsI,"Background, Location, Topic, Mood, Instrument, Beard"
294,10/21/2009,Lashes to Riches,Berkeley,Contest,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Happy,Shadow,Rock,"Cheesy, Fun, Bad, Plea",Cheesy,"Fun, Bad, Plea",,,2:38,D,140,https://www.youtube.com/watch?v=IULN-Ivd5P0,"Background, Location, Topic, Mood, Instrument, Beard"
295,10/22/2009,Beer Pong,Berkeley,Poetic,Acoustic Guitar,Acoustic Guitar,,Chill,Clean,Folk,Food,Food,,Beer,,2:32,B,105,https://www.youtube.com/watch?v=QP_MC1slwjw,"Background, Location, Topic, Mood, Instrument, Beard"
296,10/23/2009,Who Needs Sleep,Berkeley,Poetic,"Acoustic Guitar, Samples, Drum Machine",Acoustic Guitar,"Samples, Drum Machine",Chill,Clean,Folk,Dark,Dark,,Myth,,2:43,Am,120,https://www.youtube.com/watch?v=AxyxiJ0gC1g,"Background, Location, Topic, Mood, Instrument, Beard"
